NAME	s0_1_H52JYCCXY_L2	s0_2_H52JYCCXY_L2	s0_3_H52JYCCXY_L2	s8_1_H52JYCCXY_L2	s8_2_H52JYCCXY_L1	s8_3_H52JYCCXY_L1
ITM2B	5192.74229152505	5153.19032140143	5268.47335385588	7394.89602114384	7130.09495856282	7220.97320201026
KIF2C	233.444627383791	187.057663449522	190.365748707458	60.507079729903	65.0681096122448	59.7549299533544
CCNB1	557.465770192493	502.407087229468	547.807819418803	243.890075218994	265.980167362334	281.199670368726
WHSC1	1480.03893761324	1512.18739434636	1564.44192421821	937.394296738652	923.510538180807	999.430495102182
CYBRD1	3164.57536881467	3083.96838058814	3134.95935105474	4634.84230731057	4319.60924162692	4537.85968057532
PCOLCE	5793.16187315616	6639.7193636817	5886.1494533854	3241.31771722342	4084.4508103967	3758.70226059531
ATP10D	1056.10349428427	1032.12790407767	1178.64750795469	1857.10190863318	1670.08148004762	1784.44624154821
G0S2	366.041175737784	352.595418714586	350.353984323301	165.696310644965	130.13621922449	155.831483996003
RSPO3	1662.12574697259	1616.47618016335	1676.83872265719	2510.57836971613	2385.83068578231	2473.38543395159
SULF1	5047.07284403756	4841.97934150311	5164.17722557467	7246.886395343	6953.15536224882	6974.92349043762
ELOVL5	1810.59652998868	1712.48807821708	1764.93351062287	2537.57383605716	2622.1306627952	2646.79189734564
ARHGAP22	3163.64159030514	3563.2001820805	3269.63299242757	1992.07924033835	2261.40219547117	2205.0740818081
ATP13A3	3316.7812658689	3314.8935491829	3421.52055788565	5060.25362171928	4752.25509325921	4633.93623461797
SH2D4A	3032.91259897021	2887.80614059904	2996.23537460303	4281.10861042806	4133.53727905155	4260.17500608621
GNB4	943.116294630516	900.525388641946	899.174387511824	1617.86622416264	1453.18778134013	1396.62502949801
SGMS2	963.659421840289	995.709597919358	993.344678095833	1686.75120723976	1488.57570060293	1533.70986880276
NDFIP2	889.890919587011	902.180766194597	881.960463426575	1417.72742197911	1397.25203798926	1364.99006658153
SORT1	5928.55975703876	5536.41022484005	6047.15027277096	8318.32714563713	8025.06685217686	8383.26517286766
TGFBR2	6011.66604438739	5831.06742921187	6016.77275967935	8491.47048147962	7978.26347508735	8267.27030884056
ANKRD1	1001.94434073123	1016.40181732749	978.155921550025	1709.09228283234	1496.56652108163	1559.48650525323
ENDOD1	1336.23704714482	1287.05604718587	1327.49732210361	2048.86280746949	1955.46792571536	1930.90440319859
TGFBI	13159.7405348791	12741.441022752	13328.6401608312	17298.5086557044	17980.4876228503	17864.3807254666
TMEM245	1641.58261976282	1652.89448632166	1613.04594516479	2451.00216813592	2318.47948460472	2458.15378513995
PKD2	3825.69055356557	3905.86333547918	3846.80574116827	5470.77088573293	5263.6676038958	5328.73375348737
MYBL2	240.914855460072	253.272765555547	252.13335866041	79.1246427237194	100.456028875045	100.76321521546
BMPER	1748.03336984983	1837.46908344221	1823.66336926666	2612.04408803243	2745.41760732366	2575.32031446025
EFEMP1	6742.81461735342	6203.52737855826	6609.13426496585	9170.08065260423	9025.06095779662	8937.46285655269
CYP2U1	1091.58707764661	1032.955592854	1041.94869904242	1668.13364424594	1590.17327526065	1588.7781375833
PPP1R3C	1460.429588913	1208.42561343496	1441.91928808202	2169.87696692929	2174.64471598818	2203.90241651489
MGAT5	5366.42509429859	5093.59672950601	5352.51780674268	7164.96911817021	7195.16306817507	7420.15630185477
DCBLD2	14259.7316191115	15259.2702803336	15118.8882656971	20510.0382721378	19908.5584497816	20118.6647495892
TXNIP	49.4902610053637	44.6951939215672	63.7927774923929	236.443050021467	244.290797491586	132.398178131942
LMNB1	243.716190988678	250.789699226571	249.095607351249	94.9495712684632	84.4743879176511	108.964872267882
ASAH1	3022.64103536533	2763.65282415024	2806.88220966529	4228.04855589569	3960.02232008556	4189.87508849402
MAN1A1	1444.5553542509	1610.68235872907	1494.57364410749	2316.95571458044	2262.54374125384	2220.30573061974
UBE2S	1933.85529324733	1913.61645086414	1864.16672005548	1272.51043062735	1309.35301272359	1277.1151695913
ARSB	2547.34777401193	2776.89584457144	2778.52986411311	3970.19530843133	3889.24648155996	3777.44890528656
TWSG1	2801.33552860549	2982.16266110012	2841.31005783579	4383.50520689405	3945.18222491084	4130.12015854067
XRCC3	1188.70004263826	1347.47732785762	1156.37066502084	675.817536675533	801.365139435015	665.505886539319
KIF4A	205.431272097736	173.814643028317	212.64259164131	67.9541049274296	58.218834916219	71.4715828853846
SFRP4	505.174173658524	480.88717904501	500.216382241938	821.0345280273	824.196055088434	833.054023467352
NUSAP1	194.225929983314	187.885352225847	189.353164937738	64.2305923286663	71.9173843082705	59.7549299533544
ANTXR1	5271.179686326	5143.25805608553	5586.42465754812	7478.67505461602	7270.50508983135	7363.91636778102
PRNP	5350.55085963649	5258.30679599475	5090.25861038507	7447.95607567622	7038.77129594915	7096.77668093073
WDR62	296.007787522647	383.219903438622	327.064557619729	115.428890561661	162.099501139276	130.054847545536
AHSA2	1324.09792652086	1354.09883806822	1364.96292158326	863.854922913077	869.857886395272	898.667279886722
CCNL2	4032.98938268237	4063.12420298099	4043.24699249405	2912.71773038256	2985.14222168456	2854.17665424257
CENPF	206.365050607271	184.574597120546	200.491586404664	69.8158612268112	68.4927469602577	72.6432481785877
ASPH	7205.03497957333	7176.88937951684	7377.68534618373	9984.59903358369	9518.20873591047	9754.1135659152
MTPN	1893.70281733731	2110.60637962956	2070.73380907847	3011.39081424979	2843.59054463336	3072.10639877834
GRAMD3	1570.61545303815	1470.80295553009	1626.20953417116	2236.90019370703	2272.81765329788	2390.19719813417
NEK7	1874.09346863707	1909.47800698251	1830.75145565471	3270.17493986384	2671.21713145005	2780.36174077078
OSTM1	1270.87255147736	1285.40066963322	1257.62904199289	2072.13476121176	1786.51914988005	1948.47938259663
DDAH1	5118.97378927177	4866.81000479287	5343.4045528152	7181.72492486465	7082.15003569064	6925.71354812309
